id,education,marital_status,income,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,age,totalchildren,totalspend
5255,graduation,single,51381.5,2/20/2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,1,637
9422,graduation,married,38360,5/31/2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,1,131
1966,phd,married,84618,11/22/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,0,1672
6864,master,divorced,10979,5/22/2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,0,30
3033,master,together,38620,5/11/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,318
5710,graduation,together,40548,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,1,120
7373,phd,divorced,46610,10/29/2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,2,302
8755,master,married,68657,2/20/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,0,1196
10738,master,single,49389,8/29/2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,2,65
4339,phd,married,67353,12/31/2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,1,913
10755,2n cycle,married,23718,9/2/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,1,81
8595,graduation,widow,42429,2/11/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,1,67
2968,phd,divorced,48948,2/1/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,0,902
8601,graduation,married,80011,4/29/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,1,1395
503,master,married,20559,3/12/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,1,53
8430,graduation,together,21994,12/24/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,1,22
7281,phd,single,51381.5,11/5/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,0,186
2139,master,married,7500,10/2/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,1,31
1371,graduation,single,79941,6/28/2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,0,984
9909,2n cycle,married,7500,11/9/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,0,122
7286,graduation,together,41728,5/24/2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,1,55
7244,graduation,single,51381.5,1/1/2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,3,124
6566,phd,married,72550,11/8/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,2,1319
8614,graduation,widow,65486,5/12/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,1,507
4114,master,married,79143,8/11/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,0,1693
1331,graduation,single,35790,1/2/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,1,72
2225,graduation,divorced,82582,6/7/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,0,1617
9381,graduation,married,66373,6/12/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,2,606
6260,master,together,82384,11/19/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,0,1957
10383,graduation,divorced,70287,4/2/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,0,1093
7437,graduation,single,27938,4/28/2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,1,29
8557,graduation,single,51381.5,6/17/2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,1,46
8375,phd,married,55954,3/3/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,1,518
6853,master,single,75777,7/4/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,0,1438
3076,graduation,together,66653,9/7/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,2,612
1012,graduation,single,61823,2/18/2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,1,884
6518,phd,widow,67680,6/11/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,1,606
4137,graduation,together,70666,12/6/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,0,1076
8082,graduation,married,25721,5/21/2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,1,34
1386,graduation,together,32474,5/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,2,11
9369,2n cycle,single,88194,3/19/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,1,1274
4477,graduation,together,69096,9/27/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,1,653
1357,graduation,together,74854,4/8/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,3,1562
1402,master,married,66991,9/11/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,0,1253
10629,2n cycle,married,51381.5,9/14/2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,1,109
6312,graduation,married,65031,3/17/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,1,863
8132,phd,married,60631,4/5/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,2,661
1050,graduation,married,28332,4/30/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,0,65
5846,graduation,divorced,40246,12/19/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,1,13
1859,master,married,75251,8/27/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,0,1890
7503,graduation,single,75825,10/12/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,0,2209
10401,2n cycle,together,26326,9/4/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,0,18
1618,graduation,together,56046,1/2/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,0,692
3332,graduation,single,29760,8/29/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,1,165
2261,graduation,married,26304,6/23/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,1,16
5346,2n cycle,married,23559,7/3/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,1,79
4119,master,together,38620,5/11/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,318
535,graduation,divorced,81361,2/25/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,0,778
5268,graduation,married,29440,8/11/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,2,56
273,master,married,36138,7/16/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,2,151
4452,graduation,single,50388,5/28/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,1,372
8504,graduation,married,79593,5/12/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,0,1366
771,graduation,together,54178,1/21/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,1,194
8996,phd,married,51381.5,11/19/2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,3,603
9235,graduation,single,51381.5,5/27/2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,2,18
5798,master,together,51381.5,11/23/2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,0,985
11178,master,single,42394,3/23/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,1,32
2230,phd,married,23626,5/24/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,1,43
7516,graduation,married,30096,5/22/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,1,45
7247,graduation,widow,47916,11/22/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,1,606
11100,graduation,divorced,51813,4/11/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,2,63
4646,2n cycle,married,78497,12/1/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,0,978
3037,phd,married,50150,6/20/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,0,410
1473,2n cycle,single,47823,7/23/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,1,72
1016,phd,single,34554,3/30/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,1,55
4518,graduation,together,85693,4/20/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,1,1169
9370,phd,married,65846,5/17/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,0,1120
8908,graduation,married,87195,5/8/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,0,1097
8373,basic,together,24594,12/10/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,1,29
7533,graduation,married,49096,9/24/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,2,187
2683,graduation,married,52413,2/2/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,2,910
3629,graduation,single,38557,12/19/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,1,145
10991,master,married,89058,12/7/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,0,850
5077,graduation,together,77298,11/2/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,1,969
7431,phd,single,68126,11/10/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,0,1820
3267,master,together,57288,6/25/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,1,608
999,graduation,single,86037,1/2/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,0,730
9215,phd,married,43974,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,1,551
2286,graduation,single,50785,9/10/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,2,114
1592,graduation,married,90765,1/24/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,0,1724
367,2n cycle,married,36550,2/19/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,1,577
5234,2n cycle,together,30753,7/11/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,2,81
9862,graduation,together,21918,11/14/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,1,33
9805,master,together,56129,6/20/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,1,660
6205,master,single,32557,2/24/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,1,80
8442,master,married,19510,9/4/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,2,30
7386,graduation,divorced,30992,4/22/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,1,43
7215,graduation,single,101970,3/12/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,0,1135
1491,2n cycle,together,71488,2/18/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,0,559
11071,graduation,single,79607,4/21/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,0,1923
3381,master,married,54348,6/8/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,2,90
8268,phd,married,51381.5,7/11/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,1,404
11051,phd,together,77376,5/10/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,2,661
8026,graduation,married,62998,9/30/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,1,463
433,master,alone,61331,3/10/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,2,632
9597,graduation,married,73448,2/10/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,0,725
1295,graduation,married,51381.5,8/11/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,1,725
5290,phd,married,41551,8/14/2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,2,279
1685,phd,together,62981,3/17/2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,0,1482
5342,basic,divorced,9548,8/8/2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,1,29
9579,phd,married,33762,7/7/2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,3,106
7660,phd,alone,35860,5/19/2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,2,49
1461,phd,divorced,36921,7/28/2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,2,38
821,master,single,92859,10/19/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,0,2077
11084,master,together,65104,11/14/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,1,1053
8690,graduation,married,86111,4/19/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,0,1385
2937,phd,single,68352,8/28/2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,1,871
9701,graduation,together,41883,3/19/2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,1,312
9949,graduation,married,59809,10/18/2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,2,877
10837,graduation,married,23957,10/28/2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,1,68
3120,graduation,together,38547,8/28/2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,1,22
5885,2n cycle,married,35688,8/22/2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,52,3,211
4050,master,married,49605,6/21/2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,59,0,127
3830,master,married,59354,4/24/2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,72,2,459
7987,graduation,married,65747,3/7/2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,56,1,460
7798,2n cycle,together,46344,12/14/2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,53,1,429
92,graduation,alone,34176,5/12/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,37,1,89
7055,phd,together,61010,10/9/2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,73,1,1021
10240,graduation,together,69372,2/19/2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,76,0,1381
3025,graduation,single,49967,7/8/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,67,1,306
9283,graduation,single,60199,9/12/2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,47,3,18
9970,graduation,together,55375,10/17/2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,48,1,162
2730,graduation,single,80317,8/20/2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,70,0,1231
2795,master,single,30523,7/1/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,67,3,13
9260,phd,married,70356,11/5/2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,80,0,1706
8182,graduation,married,23228,1/5/2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,41,1,121
10095,phd,divorced,74165,5/1/2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,50,0,1293
8475,phd,married,157243,3/1/2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,52,1,1608
4370,graduation,together,43482,11/13/2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,59,3,88
10573,graduation,divorced,62551,11/18/2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,72,0,421
3712,graduation,divorced,52332,8/28/2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,66,0,259
6637,graduation,single,66951,11/2/2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,37,0,1117
3152,graduation,together,26091,2/25/2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,68,2,89
5610,graduation,together,33456,4/21/2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,60,2,36
6460,graduation,married,28718,7/13/2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,43,1,57
1349,graduation,married,50447,4/21/2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,55,2,148
1880,phd,together,53537,1/30/2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,66,2,93
641,graduation,single,52074,4/4/2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,58,1,119
8717,phd,married,80427,9/12/2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,50,1,1835
10314,phd,married,83837,12/16/2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,77,0,1318
10854,phd,married,38853,5/23/2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,55,2,45
10492,graduation,together,38285,6/24/2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,66,3,10
6935,2n cycle,married,78497,12/1/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,0,978
7698,phd,married,51650,5/11/2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,49,1,191
3559,2n cycle,married,16248,5/10/2014,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,37,1,57
10562,master,married,66835,9/28/2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,79,0,1033
10796,master,married,30477,1/22/2014,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,41,1,66
2563,basic,married,28249,6/15/2014,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,64,0,43
3518,graduation,married,25271,12/5/2012,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,42,1,50
5823,phd,single,32303,3/8/2014,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,55,1,39
3934,graduation,married,61286,8/2/2013,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,59,1,608
6982,graduation,married,74068,3/19/2013,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,49,0,1581
6431,phd,married,45759,2/23/2013,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,61,2,68
9733,basic,together,24882,9/9/2012,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,47,1,80
5602,phd,together,66973,5/17/2013,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,36,0,1282
7829,2n cycle,divorced,36640,9/26/2013,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,125,1,65
1324,graduation,married,38872,5/30/2013,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,37,1,91
326,graduation,married,51148,2/18/2013,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,52,2,315
7224,graduation,married,31353,12/29/2013,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,48,2,31
6999,master,married,69661,5/13/2014,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,45,0,834
9938,graduation,married,80067,9/19/2013,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,71,0,1600
6422,graduation,married,86718,1/17/2013,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,71,0,1270
3182,phd,single,46854,3/31/2014,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,52,2,263
7300,graduation,divorced,69142,6/29/2014,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,73,1,535
10424,graduation,single,75922,12/9/2013,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,57,0,1295
8727,graduation,divorced,63693,10/14/2013,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,47,1,1150
2798,phd,together,102160,11/2/2012,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,48,0,1240
1030,phd,single,40637,7/17/2013,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,60,2,38
624,master,single,18890,11/10/2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,41,0,35
5176,graduation,together,29604,12/8/2013,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,37,1,53
5552,master,divorced,48721,5/13/2013,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,62,2,293
868,graduation,married,44794,6/8/2014,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,59,1,65
380,graduation,divorced,64497,9/10/2012,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,71,1,1804
2677,graduation,together,46097,3/31/2013,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,69,1,241
6521,graduation,together,77972,3/18/2014,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,71,0,1101
6927,phd,married,44377,10/5/2012,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,57,2,264
2877,master,together,46014,1/21/2013,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,51,2,541
0,graduation,married,70951,5/4/2013,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,40,0,1198
1584,graduation,married,41443,4/1/2014,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,48,1,482
